city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
Thornton,Colorado,1,1,22,10680,133451,2.6752273943285178e-5,2.1409677388276274e-6,2.6752273943285178e-5,2.1409677388276274e-6,0.002059925093632959,1.6485451588972732e-4
Gilbert,Arizona,2,2,13,21656,247542,2.63866167080057e-5,2.308410578522317e-6,2.63866167080057e-5,2.308410578522317e-6,6.002955301071297e-4,5.251634066138271e-5
Garland,Texas,2,2,31,22187,236897,2.5755107559767946e-5,2.4121393324042576e-6,2.5755107559767946e-5,2.4121393324042576e-6,0.001397214585117411,1.3085855878293098e-4
El Monte,California,1,1,32,11142,116732,2.564299817934713e-5,2.4476089308354668e-6,2.564299817934713e-5,2.4476089308354668e-6,0.0028720157960868786,2.741322002535723e-4
Olathe,Kansas,1,1,18,11357,134305,2.5157549151561653e-5,2.127354050216192e-6,2.5157549151561653e-5,2.127354050216192e-6,0.0015849255965483843,1.340233051636201e-4
Orange,California,1,1,10,11459,140992,2.4933614252053908e-5,2.0264574281823486e-6,2.4933614252053908e-5,2.0264574281823486e-6,8.726764988218868e-4,7.092600998638221e-5
Fontana,California,2,2,30,23138,207460,2.469654124939802e-5,2.754403602759912e-6,2.469654124939802e-5,2.754403602759912e-6,0.0012965684155933962,1.446061891448954e-4
Fullerton,California,1,1,17,11611,140847,2.4607207451062415e-5,2.0285436375235946e-6,2.4607207451062415e-5,2.0285436375235946e-6,0.0014641288433382138,1.2069834643265387e-4
Vancouver,Washington,1,1,129,12300,172860,2.3228803716608595e-5,1.6528652418968282e-6,2.3228803716608595e-5,1.6528652418968282e-6,0.010487804878048781,7.462686567164179e-4
Torrance,California,1,1,16,12344,148475,2.314600499953708e-5,1.924325884588555e-6,2.314600499953708e-5,1.924325884588555e-6,0.0012961762799740765,1.0776224953695908e-4
McKinney,Texas,1,1,9,12735,162898,2.243535812440406e-5,1.753945939878241e-6,2.243535812440406e-5,1.753945939878241e-6,7.067137809187279e-4,5.5249297106164594e-5
Santa Rosa,California,1,1,38,12778,174972,2.2359859580081837e-5,1.6329143275168926e-6,2.2359859580081837e-5,1.6329143275168926e-6,0.0029738613241508845,2.171776055597467e-4
Cape Coral,Florida,1,1,68,12845,175229,2.22432297169549e-5,1.6305194101106877e-6,2.22432297169549e-5,1.6305194101106877e-6,0.005293888672635267,3.880636196063437e-4
Victorville,California,1,1,24,13115,122225,2.1785305811230325e-5,2.337609210180288e-6,2.1785305811230325e-5,2.337609210180288e-6,0.0018299656881433472,1.963591736551442e-4
