city,state,POPESTIMATE2015,teen_incidents_tot,teen_vic_incidents,teen_perp_incidents,gva_incidents,teen_incidents_tot_per_capita
San Antonio,Texas,1469845,59,42,23,936,0.0000401402869009998
Aurora,Illinois,200661,8,7,3,47,0.0000398682354817329
Houston,Texas,2296224,87,54,37,1409,0.0000378882896442159
Virginia Beach,Virginia,452745,17,7,10,159,0.000037548730521596
Lubbock,Texas,249042,9,5,5,156,0.0000361384826655745
Seattle,Washington,684451,23,12,12,274,0.0000336035742514804
Aurora,Colorado,359407,12,5,7,84,0.0000333883313346707
St. Paul,Minnesota,300851,10,6,4,84,0.0000332390452416645
Portland,Oregon,632309,20,14,8,295,0.0000316301049012429
Amarillo,Texas,198645,6,3,4,153,0.0000302046364116892
North Las Vegas,Nevada,234807,7,7,2,39,0.0000298117177085862
Albuquerque,New Mexico,559121,16,12,8,318,0.0000286163460145478
Laredo,Texas,255473,7,5,2,61,0.0000274001557894572
Dallas,Texas,1300092,33,21,13,577,0.0000253828190620356
Oklahoma City,Oklahoma,631346,16,9,7,413,0.0000253426805586794
Phoenix,Arizona,1563025,35,30,11,569,0.000022392476128021
Colorado Springs,Colorado,456568,10,8,2,244,0.0000219025424471273
Fort Worth,Texas,833319,18,14,8,224,0.0000216003715263903
Long Beach,California,474140,10,8,3,176,0.0000210908170582528
San Francisco,California,864816,15,13,3,224,0.0000173447299772437
Denver,Colorado,682545,11,8,3,347,0.0000161161535136877
Raleigh,North Carolina,451066,7,5,2,169,0.0000155187932586362
El Paso,Texas,681124,9,3,6,124,0.0000132134530570058
Tucson,Arizona,531641,6,3,3,168,0.0000112858112899494
San Jose,California,1026908,10,9,1,128,0.00000973797068481305
Austin,Texas,931830,9,6,4,240,0.00000965841408840668
Los Angeles,California,3971883,36,32,6,659,0.00000906371109118773
San Diego,California,1394928,11,8,4,183,0.00000788571166397119
